name,pca2_mean,pca2_std,pca2_entropy,pca2_ggd1,pca2_ggd2,pca2_aggd1,pca2_aggd2,pca2_aggd3,pca2_aggd4,pca2_gamma1,pca2_gamma2,omni_mean,omni_std,omni_entropy,omni_ggd1,omni_ggd2,omni_aggd1,omni_aggd2,omni_aggd3,omni_aggd4,omni_gamma1,omni_gamma2,egen_mean,egen_std,egen_entropy,egen_ggd1,egen_ggd2,egen_aggd1,egen_aggd2,egen_aggd3,egen_aggd4,egen_gamma1,egen_gamma2,vert_mean,vert_std,vert_entropy
Clavicula100205_33.ply,0.54973185,0.07599834,6.981689603176086,10.000000000000007,0.55496013,2.287000000000002,0.1625491396412902,0.90148956,1.102369,52.32421904622697,0.010506260292034207,0.383739,0.17095953,5.857160125352667,10.000000000000007,0.42009777,1.231000000000001,0.45180417411856055,0.70652705,1.3164452,5.038421005667487,0.07616254927608518,0.7649184484189075,0.4508836049871729,4.429251008909583,10.000000000000007,0.8879143747813993,0.48400000000000026,-0.7488979927974619,1.7825753481652018,0.3917178971565616,2.878131377765635,0.26576912170449035,0.46913812,0.29001382,7.57251154389264
Clavicula100205_8.ply,0.6278384,0.06582465,6.913595249187148,10.000000000000007,0.6312795,2.5070000000000023,0.17437879951651303,0.89517057,1.1088723,90.97704814690223,0.006901062991859279,0.060913235,0.031989757,5.7539722641317415,10.000000000000007,0.06880215,1.472000000000001,0.38043339890760397,0.75816107,1.2554218,3.6258898586430064,0.016799527519711845,0.6635725631984034,0.09769526843829424,5.565200751928345,10.000000000000007,0.6707254447934176,0.9770000000000008,-0.6759623631246088,1.5332576686315402,0.5716545855273184,46.13632185542425,0.014382866611643145,0.41352007,0.28817284,7.4793545330179985
Clavicula100205_1.ply,0.52265507,0.06898547,3.8587346468401713,10.000000000000007,0.52717,1.7470000000000014,0.21189357897914515,0.8630557,1.1330951,57.631875635303004,0.009068854569145262,38.390907,31.290264,2.8849928883779814,1.6100000000000012,49.487476,0.2,0.6070678158910837,0.09268687,2.512512,1.5114226965323638,25.40050920449866,-751.6529618688377,4443.74838004445,1.3938466971357992,0.2,4498.063697003584,0.2,-3.9265015692844307,15.715552622911597,0.06417609834491371,0.028726551440334834,-26165.791721642046,0.419878,0.32286376,4.3369340005333825
Clavicula100205_23.ply,0.60090643,0.056378085,6.706918186994105,10.000000000000007,0.6035453,1.9310000000000016,0.25149732355151433,0.8459253,1.1624184,113.6062590795782,0.005289378032766421,0.04245432,0.0227739,6.198369089534271,10.000000000000007,0.04817685,1.1000000000000008,0.42970800824267513,0.70883745,1.3029337,3.4751869567116955,0.012216413459737441,0.7027872894197336,0.04588041885172958,5.665410604144827,10.000000000000007,0.7042832826797278,0.7030000000000005,-0.4442864891686444,1.3748375514856181,0.6756098863674129,234.64012400039667,0.0029951709768894666,0.42587566,0.275467,7.505915981863882
Clavicula100205_7.ply,0.61329836,0.05922742,6.9226452665748415,10.000000000000007,0.61615145,2.3830000000000022,0.2042007824393553,0.87725776,1.1286364,107.22814859449863,0.005719564794606184,0.048463624,0.02327531,6.221598825379517,10.000000000000007,0.0537629,1.6770000000000012,0.32786220366905,0.79622173,1.2163975,4.335625558019331,0.011178001278797024,0.6963808871243408,0.0525748322769067,5.603905984981804,10.000000000000007,0.6983626449209063,0.8860000000000006,-0.6136401936200816,1.4869750375668314,0.5906542022906093,175.44813431473597,0.00396915527112477,0.4125753,0.28844643,7.482251835861906
Clavicula100205_5.ply,0.5943857,0.06466813,3.8066083230227745,10.000000000000007,0.5978506,2.139000000000002,0.043106996241389486,0.96932566,1.0229573,85.52340763394022,0.006949976917503607,137.85323,161.02957,2.9781007535557222,0.7590000000000006,211.2293,0.2,1.263924193059508,0.120881625,5.1589932,0.7419104738759508,185.80844848113196,-3267.754615969774,9624.32915879455,2.7718560411283004,0.24800000000000005,10108.230594227554,0.2,-2.2145744078175085,8.941407676420852,0.1139216085271401,0.1167042767714768,-28000.298758275087,0.34755126,0.31838325,3.792783654462967
Clavicula100205_27.ply,0.6057005,0.06369716,6.716560729525767,10.000000000000007,0.60904044,1.6740000000000013,0.3033859646745569,0.81180584,1.2007115,90.42426979906395,0.006698428969829897,0.04535916,0.029362526,5.52888326182443,3.8590000000000035,0.05403326,0.8300000000000005,0.5490263001297954,0.60596305,1.4234884,2.386450633844106,0.019006955378893207,0.7000364181823819,0.07374275256157838,4.562140805569077,10.000000000000007,0.7039096992889284,0.4150000000000002,-0.4718625531709329,1.501161292200633,0.5432860300969804,90.11805512334415,0.007767992964608985,0.4460525,0.28919902,7.541414290236451
Clavicula100205_26.ply,0.6041269,0.060941763,6.589061133088032,10.000000000000007,0.6071928,1.7980000000000014,0.29243169828883103,0.8202765,1.1915487,98.27330018794692,0.0061474165123669025,0.043974005,0.026275557,5.8549432429196315,8.298000000000007,0.051226,0.9100000000000006,0.4987120328860633,0.6475666,1.3705728,2.800898515290612,0.01569996391005623,0.7002551939630925,0.08774174314184854,3.5929568785023602,10.000000000000007,0.7057306756324867,0.3060000000000001,-0.46329471599964445,1.5820214998066364,0.4064800261109541,63.695594024655996,0.010993777586751605,0.46340597,0.2787403,7.551317250839218
Clavicula100205_18.ply,0.6020919,0.06084732,6.7874405224182786,10.000000000000007,0.6051586,1.7500000000000013,0.24756251745232302,0.8471427,1.1625668,97.91560143058086,0.0061490909101498846,0.045478385,0.028206866,6.202850234184128,5.278000000000005,0.05351536,0.9030000000000007,0.5334725749944875,0.6276642,1.4027252,2.5996186629672593,0.017494253285377452,0.7025600393681322,0.054763365297609466,5.513433495108953,10.000000000000007,0.7046911176903703,0.6280000000000003,-0.314647016837256,1.2831531397968796,0.7659420340834927,164.58712626647755,0.004268620853314132,0.41545913,0.2901799,7.48974967773572
Clavicula100205_2.ply,0.5326513,0.06964579,3.893173285821663,10.000000000000007,0.53715986,2.389000000000002,0.12308290693408708,0.921974,1.0734587,58.82243516907329,0.009055240600852816,56.382153,48.935017,2.8882432948606622,1.374000000000001,74.56628,0.2,0.7186692628627186,0.097553685,2.9622319,1.3350285834717965,42.232921722412165,-1168.1815435216668,5554.103063168475,1.9139271841655228,0.2,5660.336142170237,0.2,-3.308830350273829,13.265469628405246,0.07618426731791864,0.044487658471753476,-26258.55312801818,0.44687712,0.33974943,4.2035403832180425
